,Adj Close
HSY,154.84818352593317
HES,62.447245279947914
HPE,13.715547482172648
HLT,93.3753022087945
HFC,47.93854014078776
HOLX,49.50861136118571
HD,218.81590482923718
HON,165.18420240614148
HRL,42.20222208234999
HST,16.533888816833496
HPQ,18.757153087192112
HUM,285.1433325873481
HBAN,13.280946095784506
HII,209.89997821384006
IEX,164.64194446139865
IDXX,276.0377773708767
INFO,65.3533336851332
ITW,151.35999976264105
ILMN,288.50972154405383
IR,119.68444146050348
INTC,48.40323776668973
ICE,91.69672372606065
IBM,137.9343507554796
INCY,80.99277771843805
IP,39.721894370185005
IPG,20.606203238169353
IFF,117.87567520141602
INTU,275.1011098225911
ISRG,508.33221859402124
IVZ,16.276927444669937
IPGP,127.33361117045085
IQV,154.1283344692654
IRM,31.402031739552815
