,index,Adj Close
96,CBRE,50.734411912805896
97,CBS,50.318231358247644
98,CE,104.79529459336224
99,CELG,94.30352985157685
100,CNC,53.3732349171358
101,CNP,29.131764748517206
102,CTL,11.303235334508559
103,CERN,72.95150711957146
104,CF,45.53764679852654
105,SCHW,41.130294014425836
106,CHTR,397.94852851418887
107,CVX,122.87411813174977
108,CMG,728.9946989171646
109,CB,148.82834804759307
110,CHD,75.55058894437902
111,CI,162.33382415771484
112,XEC,55.90735289629768
113,CINF,104.56075129789464
114,CTAS,237.28911680333755
115,CSCO,55.94952875025132
116,C,68.75058813656078
117,CFG,34.91941182753619
118,CTXS,98.23404334573185
119,CLX,155.87941293155447
120,CME,199.70839466768152
121,CMS,58.304705788107476
122,KO,51.38675465303309
123,CTSH,63.666764427633844
124,CL,72.71840712603401
125,CMCSA,42.70600498423857
126,CMA,70.73127769021427
127,CAG,28.494705761180203
128,CXO,101.10441185446346
129,COP,59.699736651252294
130,ED,88.30264686135685
131,STZ,191.79764826157515
132,COO,327.5408827837776
133,CPRT,74.73500016156365
134,GLW,32.329705855425665
135,CTVA,27.24647045135498
136,COST,265.35264722038715
137,COTY,12.490715167101692
138,CCI,133.15864922018613
139,CSX,77.06323489020852
140,CMI,166.92176504696116
141,CVS,54.912352954640106
142,DHI,44.59970575220444
143,DHR,140.4848103242762
144,DRI,120.38033653708065
145,DVA,52.76294147267061
146,DE,158.751537547392
147,DAL,57.503235424266144
148,XRAY,57.01089769251206
149,DVN,27.103599155650418
150,FANG,104.03735306683708
151,DLR,119.22565415326287
152,DFS,78.75352837057675
153,DISCA,30.299999910242416
154,DISCK,27.985294117647058
155,DISH,38.859411351821
156,DG,137.15203543270334
157,DLTR,108.532647301169
158,D,76.99632150986615
159,DOV,97.92735290527344
160,DOW,50.094411962172565
161,DTE,129.333085677203
162,DUK,88.30647053438075
163,DRE,32.07558788972742
164,DD,73.3955883699305
165,DXC,53.43382341721479
166,ETFC,45.65029413559858
167,EMN,74.94024231854607
168,ETN,80.28176453534294
169,EBAY,39.11294095656451
170,ECL,195.1349770041073
171,EIX,64.97811530618107
172,EW,186.9311756807215
173,EA,94.45764743580537
174,EMR,64.51352994582233
175,ETR,102.66911764705883
176,EOG,87.78397548899932
177,EFX,133.4835303811466
178,EQIX,507.68852682674634
179,EQR,77.53354599896599
180,ESS,297.7547140682445
181,EL,181.44676477768843
182,EVRG,60.635588253245636
183,ES,76.69558872896083
184,RE,252.02058724796072
185,EXC,49.23088253245634
186,EXPE,129.3964702381807
187,EXPD,73.94647037281709
188,EXR,108.48079053093406
189,XOM,75.63705825805664
190,FFIV,142.82382381663604
191,FB,188.81117607565488
192,FAST,31.828823482289035
193,FRT,131.09858681173887
194,FDX,162.2284958783318
195,FIS,124.15999737907859
196,FITB,27.41237511354334
197,FE,43.304999968584845
198,FRC,97.49235310274013
