,index,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditure,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,"Property, plant and equipment",Goodwill,Intangible Assets,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Total Liabilities,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total stockholders' equity,Net Tangible Assets,Total Revenue,Cost of Revenue,Gross Profit,Research Development,Selling General and Administrative,Others,Total Operating Expenses,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest and Taxes,Interest Expense,Income Before Tax,Income Tax Expense,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Net Income Applicable To Common Shares
20,ALLE,434900.0,70800.0,-52300.0,-8600.0,33900.0,-19700.0,-16600.0,457800.0,-49100.0,-14300.0,-4500.0,-443800.0,-79400.0,0.0,-36100.0,-3800.0,-183400.0,-6200.0,-175600.0,283800.0,0.0,340300.0,280300.0,27200.0,931600.0,5700.0,276700.0,883000.0,547100.0,166100.0,84600.0,2810200.0,235000.0,35300.0,34800.0,520800.0,1409500.0,225900.0,0.0,3000.0,2156200.0,900.0,873600.0,-223500.0,0.0,-223500.0,651000.0,-779100.0,2731700.0,1558400.0,1173300.0,0.0,634700.0,0.0,2193100.0,538600.0,-63400.0,538600.0,-54000.0,475200.0,39800.0,3000.0,435400.0,0.0,434900.0
21,AGN,-5096400.0,6744400.0,5261600.0,-37000.0,151600.0,-145700.0,-69400.0,5640100.0,-253500.0,3787600.0,-466000.0,3098500.0,-1049800.0,0.0,-6147500.0,190200.0,-9680100.0,4700.0,-936800.0,880400.0,1026900.0,2935800.0,846900.0,323100.0,6475400.0,46000.0,1787000.0,45913300.0,43695400.0,3870500.0,1063700.0,101787600.0,349800.0,860700.0,706200.0,5727900.0,22929400.0,7999300.0,0.0,16900.0,36656600.0,0.0,7258900.0,1345200.0,56510000.0,1345200.0,65114100.0,-24494600.0,15787400.0,2266000.0,13521400.0,2253400.0,4331200.0,0.0,15402900.0,384500.0,-7241400.0,384500.0,-911200.0,-6856900.0,-1770700.0,16900.0,-5086200.0,0.0,-5142800.0
22,ADS,963100.0,355800.0,1441400.0,-93000.0,-111200.0,0.0,20000.0,2754900.0,-199800.0,-42100.0,-34000.0,-1872000.0,-125200.0,0.0,-1474100.0,807000.0,-1217900.0,-12000.0,-347000.0,3863100.0,0.0,923900.0,251900.0,904500.0,24711700.0,0.0,384800.0,3841000.0,750000.0,700200.0,47000.0,30387700.0,558300.0,2862100.0,1128900.0,11484000.0,10527500.0,788100.0,0.0,0.0,28055600.0,1100.0,5012400.0,-5853800.0,3172400.0,-138100.0,2332100.0,-2258900.0,7791200.0,5723900.0,2067300.0,0.0,172700.0,0.0,6282800.0,1508400.0,-284700.0,1508400.0,-284700.0,1223700.0,260600.0,0.0,963100.0,0.0,963100.0
23,LNT,512100.0,517500.0,22900.0,-475400.0,55900.0,0.0,-105300.0,527700.0,-1633900.0,0.0,567100.0,-1066800.0,-312200.0,0.0,670300.0,-24000.0,530700.0,0.0,-8400.0,20900.0,0.0,350400.0,211800.0,159800.0,785100.0,431300.0,12462400.0,0.0,0.0,1747200.0,0.0,15426000.0,543300.0,256500.0,391200.0,1644100.0,5246300.0,3749900.0,1743500.0,200000.0,10640300.0,2400.0,2545900.0,-8100.0,2045500.0,-8100.0,4585700.0,4585700.0,3534500.0,2228800.0,1305700.0,0.0,16500.0,104400.0,2856600.0,677900.0,-118100.0,677900.0,-257200.0,559800.0,47700.0,200000.0,512100.0,0.0,512100.0
24,ALL,2252000.0,511000.0,1525000.0,-396000.0,915000.0,0.0,724000.0,5175000.0,-277000.0,-749000.0,0.0,-1719000.0,-748000.0,0.0,98000.0,-866000.0,-3574000.0,0.0,-118000.0,499000.0,3027000.0,6154000.0,0.0,10304000.0,20190000.0,69789000.0,1045000.0,2530000.0,5497000.0,13198000.0,57000.0,112249000.0,13505000.0,-1000.0,14576000.0,28080000.0,6451000.0,56406000.0,0.0,0.0,90937000.0,9000.0,45708000.0,-29645000.0,3310000.0,-1560000.0,19382000.0,16139000.0,39815000.0,30688000.0,9127000.0,0.0,5869000.0,0.0,36662000.0,3153000.0,-409000.0,3153000.0,-332000.0,2744000.0,492000.0,0.0,2252000.0,0.0,2104000.0
25,GOOGL,30736000.0,9029000.0,3298000.0,-2169000.0,1438000.0,0.0,7890000.0,47971000.0,-25139000.0,-1972000.0,0.0,-28504000.0,0.0,0.0,-61000.0,-4043000.0,-13179000.0,-302000.0,5986000.0,16701000.0,92439000.0,21193000.0,1107000.0,4236000.0,135676000.0,13859000.0,59719000.0,17888000.0,2220000.0,3430000.0,737000.0,232792000.0,4378000.0,0.0,16009000.0,34620000.0,3950000.0,16532000.0,0.0,0.0,55164000.0,45049000.0,134885000.0,-2306000.0,0.0,-2306000.0,177628000.0,157520000.0,136819000.0,59549000.0,77270000.0,21419000.0,24459000.0,0.0,105427000.0,31392000.0,3521000.0,31392000.0,-114000.0,34913000.0,4177000.0,0.0,30736000.0,0.0,30736000.0
26,GOOG,30736000.0,9029000.0,3298000.0,-2169000.0,1438000.0,0.0,7890000.0,47971000.0,-25139000.0,-1972000.0,0.0,-28504000.0,0.0,0.0,-61000.0,-4043000.0,-13179000.0,-302000.0,5986000.0,16701000.0,92439000.0,21193000.0,1107000.0,4236000.0,135676000.0,13859000.0,59719000.0,17888000.0,2220000.0,3430000.0,737000.0,232792000.0,4378000.0,0.0,16009000.0,34620000.0,3950000.0,16532000.0,0.0,0.0,55164000.0,45049000.0,134885000.0,-2306000.0,0.0,-2306000.0,177628000.0,157520000.0,136819000.0,59549000.0,77270000.0,21419000.0,24459000.0,0.0,105427000.0,31392000.0,3521000.0,31392000.0,-114000.0,34913000.0,4177000.0,0.0,30736000.0,0.0,30736000.0
27,MO,6963000.0,227000.0,126000.0,0.0,27000.0,-129000.0,959000.0,8391000.0,-238000.0,-12800000.0,28000.0,-12988000.0,-5415000.0,0.0,11936000.0,-132000.0,4716000.0,0.0,119000.0,1333000.0,0.0,309000.0,2331000.0,326000.0,4299000.0,30496000.0,1938000.0,5196000.0,12279000.0,1430000.0,0.0,55638000.0,399000.0,1144000.0,5357000.0,21193000.0,11898000.0,7719000.0,0.0,41000.0,40810000.0,935000.0,43962000.0,-36071000.0,5961000.0,-2547000.0,14787000.0,-2688000.0,19627000.0,7451000.0,12176000.0,0.0,2342000.0,0.0,9793000.0,9834000.0,-493000.0,9834000.0,-679000.0,9341000.0,2374000.0,41000.0,6967000.0,0.0,6955000.0
28,AMZN,10073000.0,15341000.0,6352000.0,-4615000.0,4414000.0,-1314000.0,472000.0,30723000.0,-13427000.0,1140000.0,2104000.0,-12369000.0,0.0,0.0,-7686000.0,0.0,-7686000.0,-351000.0,10317000.0,31750000.0,9500000.0,16259000.0,17174000.0,418000.0,75101000.0,440000.0,61797000.0,14548000.0,4110000.0,6652000.0,0.0,162648000.0,38192000.0,1371000.0,9959000.0,68391000.0,23495000.0,10921000.0,0.0,0.0,119099000.0,5000.0,19625000.0,-2872000.0,26791000.0,-1035000.0,43549000.0,24891000.0,232887000.0,139156000.0,93731000.0,28837000.0,52177000.0,296000.0,220466000.0,12421000.0,-1151000.0,12421000.0,-1417000.0,11270000.0,1197000.0,0.0,10073000.0,0.0,10073000.0
29,AMCR,724000.0,342400.0,-66000.0,61000.0,53200.0,-96600.0,-96600.0,937100.0,-372100.0,0.0,-700.0,-229400.0,-515500.0,0.0,-144000.0,-11400.0,-717500.0,-5800.0,-15600.0,620800.0,0.0,1205700.0,1358800.0,22700.0,3285800.0,460800.0,2698300.0,2036800.0,340300.0,224700.0,65500.0,9046700.0,2606700.0,981500.0,217300.0,4696800.0,2668100.0,587100.0,10700.0,68800.0,7956200.0,1411400.0,528100.0,-917800.0,0.0,-907100.0,1021700.0,-1355400.0,9319100.0,7462300.0,1856800.0,65500.0,818400.0,-21200.0,8325000.0,994100.0,-113400.0,994100.0,-208000.0,880700.0,145300.0,68800.0,735400.0,0.0,724000.0
